PERMNO,#RIC
78955.0,AVID.O
78963.0,CHS
78975.0,INTU.O
78977.0,JAH
78981.0,LSTR.O
78987.0,MCHP.O
79037.0,ETH
79089.0,FOSL.O
79094.0,JBL
79103.0,ORLY.O
79108.0,SANM.O
79133.0,ATR
79150.0,ANIK.O
79195.0,PERY.O
79198.0,TWI
79210.0,RGA
79248.0,THRM.O
79265.0,FLIR.O
79299.0,PZZA.O
79303.0,USTR.O
79303.0,ESND.O
79323.0,ALL
79338.0,SGMS.O
79411.0,PETM.O
79444.0,SGY
79507.0,MCRI.O
79545.0,BWA
79564.0,ARRS.O
79588.0,GMCR.O
79611.0,MOV
79628.0,UTEK.O
79637.0,UHS
79667.0,BKS
79668.0,BDC
79672.0,ZLC
79678.0,ATVI.O
79686.0,DECK.O
79686.0,DECK.K
79698.0,IT
79724.0,OMG
79758.0,BYD
79785.0,NVR
79796.0,AF
79799.0,ATMI.O
79824.0,FFIN.O
79839.0,ITRI.O
79841.0,FWRD.O
79857.0,PTEN.O
79859.0,NYB
79859.0,NYCB.K
79862.0,ROCK.O
79878.0,UFPI.O
79879.0,JDSU.O
79879.0,VIAV.O
79881.0,URBN.O
79903.0,HHS
79909.0,MHO
79915.0,NFX
80032.0,SHAW.K
80034.0,SHOO.O
80049.0,TQNT.O
80054.0,MED
80072.0,VLY
80079.0,CYT
80080.0,EMN
80113.0,CGI
80128.0,VMI
80135.0,SFN
80167.0,HAIN.O
80185.0,PLT
80191.0,ALB
80204.0,MLM
80223.0,BPFH.O
80233.0,DAKT.O
80236.0,DSPG.O
80254.0,MINI.O
80266.0,QLGC.O
80279.0,SNIC.O
80286.0,TSCO.O
80303.0,AKS
80316.0,CBR
80320.0,CPRT.O
80341.0,MPAA.O
80361.0,RKT
80362.0,SCSC.O
80375.0,ZEUS.O
80415.0,EXP
80432.0,AEO
80439.0,CELL.O
80446.0,GDI
80498.0,ABCB.O
80539.0,NKTR.O
80544.0,JOSB.O
80568.0,PSSI.O
80575.0,SSD
80621.0,CGX
80759.0,MATW.O
80774.0,GEO
80791.0,ADTN.O
80795.0,AMED.O
80864.0,RS
80928.0,DAR
80987.0,KNX
81010.0,SSYS.O
81055.0,COF
81061.0,MCK
81095.0,NWBI.O
81116.0,VECO.O
81128.0,ESI
81138.0,APOL.O
81162.0,MCRL.O
81173.0,SWC
81220.0,NSIT.O
81222.0,RCII.O
81241.0,BRKS.O
81282.0,ACIW.O
81294.0,WDFC.O
81481.0,DLTR.O
81501.0,NATI.O
81540.0,ABC
81541.0,MBFI.O
81577.0,WFSL.O
81577.0,WAFD.O
81621.0,HLIT.O
81655.0,DRI
81666.0,HA.O
81677.0,WAB
81678.0,LECO.O
81702.0,WPP
81705.0,FEIC.O
81736.0,RMD
81774.0,FCX
81776.0,WFR
81776.0,SUNE.K
81857.0,CAM
82179.0,IART.O
82196.0,DNR
82272.0,MD
82279.0,SENEA.O
82281.0,SMSI.O
82292.0,THG
82298.0,DO
82307.0,DVA
82515.0,POOL.O
82521.0,RSYS.O
82546.0,ADVS.O
82547.0,AEIS.O
82575.0,BANR.O
82581.0,HSIC.O
82587.0,IVAC.O
82598.0,NTAP.O
82607.0,PRXL.O
82618.0,SNDK.O
82634.0,SAM
82635.0,BKI
82642.0,EL
82643.0,LXK
82644.0,MIG
82649.0,SWM
82651.0,WAT
82686.0,CTXS.O
82694.0,EME
82702.0,IPXL.O
82717.0,KNSY.O
82775.0,HIG
82777.0,MSM
82825.0,LCAV.O
82837.0,PPDI.O
82855.0,EE
82932.0,JWb
83011.0,WSM
83030.0,WL
83111.0,ALXN.O
83112.0,ANDE.O
83124.0,CSGS.O
83131.0,DGIT.O
83143.0,IRM
83186.0,DST
83233.0,GEF
83244.0,CENX.O
83272.0,HUBG.O
83283.0,JDAS.O
83333.0,PSS
83366.0,CRR
83405.0,PLCM.O
83421.0,DF
83422.0,SYKE.O
83435.0,YHOO.O
83443.0,BRKb
83452.0,NDN
83462.0,TUP
83509.0,FCN
83520.0,JAKK.O
83529.0,MGAM.O
83597.0,FDS
83601.0,WOR
83616.0,AFFX.O
83621.0,ANSS.O
83661.0,GWR
83671.0,TBI
83699.0,TIE
83799.0,STRA.O
83815.0,DCOM.O
83822.0,GES
83862.0,ETFC.O
83879.0,LAMR.O
83906.0,SRCL.O
83916.0,TTEC.O
83928.0,CYMI.O
83939.0,HOTT.O
83950.0,SPPI.O
83961.0,RSTI.O
83976.0,ANF
84032.0,NOV
84041.0,TGI
84052.0,ARQL.O
84060.0,CBST.O
84062.0,BJRI.O
84084.0,HIBB.O
84103.0,NCI
84129.0,ZION.O
84168.0,IM
84176.0,SSP
84210.0,FORR.O
84226.0,ISCA.O
84234.0,PLUS.O
84262.0,STLD.O
84275.0,UNFI.O
84281.0,VPHM.O
84319.0,LAD
84320.0,IGTE.O
84342.0,MWW
84348.0,VSAT.O
84364.0,CVD
84365.0,DEL
84372.0,NCR
84373.0,DGX
84381.0,ROK
84385.0,NSP
84403.0,WGOV.O
84403.0,WWD.O
84416.0,CWTR.O
84519.0,CIEN.O
84519.0,CIEN.K
84531.0,EPIQ.O
84559.0,ERES.O
84559.0,ERT.O
84561.0,RADS.O
84563.0,SLGN.O
84584.0,RAH
84624.0,ROVI.O
84636.0,WTFC.O
84737.0,GIFI.O
84761.0,TTWO.O
84769.0,APH
84776.0,BGC
84788.0,AMZN.O
84808.0,GLF
84827.0,RMBS.O
85032.0,Q
85034.0,RCRC.O
85035.0,RFMD.O
85035.0,QRVO.O
85059.0,FIX
85067.0,MMS
85072.0,RL
85077.0,SRT
85168.0,HLX
85173.0,CSTR.O
85173.0,OUTR.O
85176.0,DXPE.O
85177.0,EGHT.O
85198.0,OZRK.O
85208.0,SIRO.O
85234.0,CXW
85246.0,JLL
85257.0,AME
85269.0,VLO
85280.0,CRZO.O
85298.0,KNDL.O
85348.0,YUM
85372.0,FARO.O
85390.0,PLCE.O
85424.0,DRQ
85427.0,GPI
85445.0,IN
85459.0,CHRW.O
85486.0,TRAD.O
85488.0,OSIS.O
85496.0,PSEM.O
85567.0,OYOG.O
85567.0,GEOS.O
85593.0,AMG
85621.0,MTD
85627.0,SAH
85631.0,ADSK.O
85645.0,CPO
85645.0,INGR.K
85663.0,URI
85675.0,AMSG.O
85686.0,DEPO.O
85710.0,POWI.O
85724.0,CECO.O
85738.0,MRCY.O
85741.0,NARA.O
85741.0,BBCN.O
85753.0,VRSN.O
85770.0,MDS
85789.0,BXS
85792.0,PWR
85860.0,BRKL.O
85889.0,SRDX.O
85913.0,MAR
85913.0,MAR.O
85914.0,BBY
85926.0,SEE
85931.0,WDR
85963.0,BRCM.O
85991.0,LVLT.K
85992.0,MANH.O
85994.0,FNFG.O
86003.0,SONO.O
86004.0,UMPQ.O
86021.0,LLL
86026.0,IOSP.O
86042.0,HW
86091.0,SBSI.O
86097.0,WCN
86102.0,FII
86111.0,AMT
86128.0,HZO
86136.0,SRE
86158.0,CTSH.O
86189.0,SCHS.O
86196.0,ULTI.O
86211.0,MSTR.O
86228.0,RSG
86242.0,BELFB.O
86305.0,CVG
86322.0,DRIV.O
86339.0,CCI
86356.0,EBAY.O
86432.0,PRSP.O
86432.0,PB
86440.0,WIBC.O
86489.0,SCSS.O
86525.0,CNQR.O
86534.0,PFCB.O
86544.0,INSP.O
86544.0,BCOR.O
86548.0,ARJ
86580.0,NVDA.O
86582.0,PBNY.K
86582.0,STL
86594.0,KFY
86709.0,AMRI.O
86715.0,COCO.O
86717.0,EPAY.O
86719.0,EWBC.O
86720.0,EXBD.K
86720.0,CEB
86725.0,LIFE.O
86759.0,KWK
86778.0,MKSI.O
86783.0,PCLN.O
86791.0,VSEA.O
86799.0,CNX
86804.0,JEF
86809.0,SFG
86827.0,HSII.O
86830.0,INFA.O
86866.0,TUES.O
86868.0,GS
86896.0,CBU
86899.0,LPNT.O
86926.0,TWTC.O
86946.0,RAI
86949.0,SKX
86964.0,FFIV.O
86979.0,JNPR.K
87000.0,STMP.O
87006.0,UTHR.O
87020.0,PVTB.O
87034.0,LII
87055.0,COST.O
87066.0,EGOV.O
87070.0,HCBK.O
87075.0,JCOM.O
87077.0,ECPG.O
87078.0,MDRX.O
87086.0,PRFT.O
87092.0,TIBX.O
87137.0,DVN
87139.0,FCS
87139.0,FCS.O
87146.0,NST
87179.0,NTCT.O
87182.0,QSFT.O
87184.0,RHT
87261.0,UNTD.O
87264.0,ININ.O
87267.0,BLK
87268.0,CIR
87299.0,AKAM.O
87361.0,PCTI.O
87377.0,BCSI.O
87415.0,RTEC.O
87415.0,RTEC.K
87426.0,DW
87432.0,A
87445.0,TDY
87447.0,UPS
87492.0,CHSI.O
87496.0,KNOT.O
87496.0,XOXO.K
87541.0,PKG
87612.0,ISIL.O
87657.0,EW
87659.0,ENR
87659.0,EPC
87696.0,EXAR.O
87696.0,EXAR.K
87717.0,EXPD.O
87771.0,GTIV.O
87789.0,LMNX.O
87812.0,SLAB.O
87827.0,WBSN.O
87842.0,MET
87952.0,GBCI.O
88031.0,HANS.O
88031.0,MNST.O
88152.0,CCMP.O
88167.0,HSTM.O
88174.0,LPSN.O
88197.0,FULT.O
88203.0,VDSI.O
88207.0,VCLK.O
88207.0,CNVR.O
88281.0,CRL
88284.0,CYH
88313.0,JNS
88343.0,PACW.O
88352.0,ISRG.O
88379.0,NTRI.O
88436.0,ENDP.O
88475.0,VASC.O
88499.0,AMMD.O
88510.0,CPKI.O
88545.0,MDCO.O
88550.0,OPNT.O
88568.0,SPTN.O
88590.0,DNB
88597.0,POL
88615.0,GB
88648.0,TTMI.O
88661.0,COH
88664.0,JKHY.O
88668.0,MON
88739.0,OPLK.O
88750.0,XXIA.O
88792.0,BKMU.O
